text_sha256,cluster_size,canonical_id,candidate_id,is_canonical,title,year,publisher,source_url,metadata_source
6783bb29d75e2c9c4910ee6daba0965996b6b4bf172ba3e2696a8a6f6ecc9c8f,2,EXP-MEDIA-054,expanded_media_candidates__EXP-MEDIA-027,false,Marikana Massacre: Police absolve 87 of their own,2017,Daily Maverick,https://www.dailymaverick.co.za/article/2017-03-15-marikana-massacre-police-absolve-87-of-their-own/,expanded_media_candidates.csv
6783bb29d75e2c9c4910ee6daba0965996b6b4bf172ba3e2696a8a6f6ecc9c8f,2,EXP-MEDIA-054,EXP-MEDIA-054,true,Marikana Massacre: Police absolve 87 of their own,2017,Daily Maverick,https://www.dailymaverick.co.za/article/2017-03-15-marikana-massacre-police-absolve-87-of-their-own/,expanded_media_candidates_batch2.csv
68172a7887d71be89b99d48452ab1c81808df57cdb8195736a0a13a4ec6620a1,2,expanded_media_candidates_02__EXP-MEDIA-047,expanded_media_candidates_02__EXP-MEDIA-047,true,"In Marikana, local government's failures in plain sight",2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-10-in-marikana-local-governments-failures-in-plain-sight/,expanded_media_candidates_02.csv
68172a7887d71be89b99d48452ab1c81808df57cdb8195736a0a13a4ec6620a1,2,expanded_media_candidates_02__EXP-MEDIA-047,expanded_media_candidates_batch1__EXP-MEDIA-003,false,"In Marikana, local government's failures in plain sight",2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-10-in-marikana-local-governments-failures-in-plain-sight/,expanded_media_candidates_batch1.csv
69c58b25d169c562e7eb71d4e5049830ae2e97abeaaa9577afd59a75a060a2fe,2,expanded_official_candidates__EXP-OFFICIAL-004,expanded_official_candidates__EXP-OFFICIAL-004,true,Explaining violence in strikes,2014,Crispen Chinguno / SWOP,https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Chinguno.pdf,expanded_official_candidates.csv
69c58b25d169c562e7eb71d4e5049830ae2e97abeaaa9577afd59a75a060a2fe,2,expanded_official_candidates__EXP-OFFICIAL-004,expanded_official_candidates_batch1__EXP-OFFICIAL-004,false,Explaining violence in strikes,2014,Crispen Chinguno / Marikana Commission Phase 2,https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Chinguno.pdf,expanded_official_candidates_batch1.csv
6c5095bf7154ccf2136f3f2b3f5215d89a9db1a3f620e4aadb98c37ef8554376,2,expanded_official_candidates__EXP-OFFICIAL-005,expanded_official_candidates__EXP-OFFICIAL-005,true,Strike Violence: An Alternative Avenue,2014,Edward Webster / SWOP,https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Webster.pdf,expanded_official_candidates.csv
6c5095bf7154ccf2136f3f2b3f5215d89a9db1a3f620e4aadb98c37ef8554376,2,expanded_official_candidates__EXP-OFFICIAL-005,expanded_official_candidates_batch1__EXP-OFFICIAL-005,false,Strike Violence: An Alternative Avenue,2014,Edward Webster / Marikana Commission Phase 2,https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Webster.pdf,expanded_official_candidates_batch1.csv
736b6a8224deb7efcb57dbc884d8940f08aa91bcc7ffb9bbca5bb28e94edf950,2,expanded_official_candidates__EXP-OFFICIAL-006,expanded_official_candidates__EXP-OFFICIAL-006,true,Understanding the causes and re-thinking the future post the strike wave,2014,Gavin Hartford,https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Hartford.pdf,expanded_official_candidates.csv
736b6a8224deb7efcb57dbc884d8940f08aa91bcc7ffb9bbca5bb28e94edf950,2,expanded_official_candidates__EXP-OFFICIAL-006,expanded_official_candidates_batch1__EXP-OFFICIAL-006,false,Understanding the causes and re-thinking the future post the strike wave,2014,Gavin Hartford / Marikana Commission Phase 2,https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Hartford.pdf,expanded_official_candidates_batch1.csv
7d241e22febe66fa22ee00065039db1528a597d2db6ce16dcf9ad0339709cfb2,2,expanded_media_candidates__EXP-MEDIA-015,expanded_media_candidates__EXP-MEDIA-015,true,Marikana Commission: Gung-ho Mangwashi Phiyega under scrutiny,2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-01-24-marikana-commission-gung-ho-mangwashi-phiyega-under-scrutiny/,expanded_media_candidates.csv
7d241e22febe66fa22ee00065039db1528a597d2db6ce16dcf9ad0339709cfb2,2,expanded_media_candidates__EXP-MEDIA-015,expanded_media_candidates_batch1__EXP-MEDIA-013,false,Marikana Commission: Gung-ho Mangwashi Phiyega under scrutiny,2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-01-24-marikana-commission-gung-ho-mangwashi-phiyega-under-scrutiny/,expanded_media_candidates_batch1.csv
80121081a666ef695f72d2d33714e024fb0e86ac6a2a9f3d9bc4a3d7a7c1304e,2,expanded_official_candidates__EXP-OFFICIAL-010,expanded_official_candidates__EXP-OFFICIAL-010,true,Post-apartheid Trade Union Role and Weaknesses,2014,Sakhela Buhlungu / University of Cape Town,https://www.justice.gov.za/comm-mrk/docs/20140331-SeminarPhase02-UCT.pdf,expanded_official_candidates.csv
80121081a666ef695f72d2d33714e024fb0e86ac6a2a9f3d9bc4a3d7a7c1304e,2,expanded_official_candidates__EXP-OFFICIAL-010,expanded_official_candidates_batch1__EXP-OFFICIAL-009,false,Post-apartheid Trade union role and weaknesses,2014,Sakhela Buhlungu / Marikana Commission Phase 2,https://www.justice.gov.za/comm-mrk/docs/20140331-SeminarPhase02-UCT.pdf,expanded_official_candidates_batch1.csv
82537cbdb054407b0f325e09a049dd155bc410366aed46591e0cedc792d5b53a,2,expanded_media_candidates__EXP-MEDIA-020,expanded_media_candidates__EXP-MEDIA-020,true,"Marikana massacre: Ramaphosa's statement, revisited",2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-10-25-marikana-massacre-ramaphosas-statement-revisited/,expanded_media_candidates.csv
82537cbdb054407b0f325e09a049dd155bc410366aed46591e0cedc792d5b53a,2,expanded_media_candidates__EXP-MEDIA-020,expanded_media_candidates_batch1__EXP-MEDIA-018,false,"Marikana massacre: Ramaphosa's statement, revisited",2013,Daily Maverick,https://www.dailymaverick.co.za/article/2013-10-25-marikana-massacre-ramaphosas-statement-revisited/,expanded_media_candidates_batch1.csv
82df3a9d1d0c2c7e95456c17a99478bbfd21dfc8ed7bf9366517081d967d7216,2,EXP-MEDIA-059,expanded_media_candidates__EXP-MEDIA-034,false,SA still waiting for action on Farlam Commission findings,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-08-16-sa-still-waiting-for-action-on-farlam-commission-findings/,expanded_media_candidates.csv
