similarity,candidate_id_a,candidate_id_b,title_a,title_b,year_a,year_b,publisher_a,publisher_b,url_a,url_b,decision
0.997681,MEDIA-044,DISC-MEDIA-0524,Lonmin transaction filed with South Africa's competition authority,Lonmin Transaction Filed With South Africas Competition Body,2018,2018,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-transaction-filed-with-south-africas-competition-body-2018-03-30,https://www.engineeringnews.co.za/article/lonmin-transaction-filed-with-south-africas-competition-body-2018-03-30,manual_review_near_duplicate
0.997659,expanded_media_candidates__EXP-MEDIA-010,DISC-MEDIA-0573,Marikana report to Zuma by Tuesday,Marikana Report To Zuma By Tuesday,2015,2015,Mining Weekly,Engineering News,https://www.miningweekly.com/article/marikana-report-to-zuma-by-tuesday-2015-03-30,https://www.engineeringnews.co.za/article/marikana-report-to-zuma-by-tuesday-2015-03-30,manual_review_near_duplicate
0.994490,expanded_media_candidates__EXP-MEDIA-007,DISC-MEDIA-0679,Union puts chamber on spot over alleged Lonmin breach,Union Puts Chamber On Spot Over Alleged Lonmin Breach,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-09-06,https://www.engineeringnews.co.za/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-08-26,manual_review_near_duplicate
0.993672,DISC-MEDIA-0638,DISC-MEDIA-0639,Sibanye Highlights Lonmin Drdgold Deal Attractions At Denver,Sibanye Highlights Lonmin Drdgold Deal Attractions At Denver,2018,2018,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/sibanye-highlights-lonmin-drdgold-deal-attractions-at-denver-2018-09-26,https://www.engineeringnews.co.za/article/sibanye-highlights-lonmin-drdgold-deal-attractions-at-denver-2018-10-05,manual_review_near_duplicate
0.993660,DISC-MEDIA-0615,DISC-MEDIA-0616,Resilient Lonmin Beats Guidance Ups Cash,Resilient Lonmin Beats Guidance Ups Cash,2017,2017,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-beats-guidance-ups-cash-2017-11-03,https://www.engineeringnews.co.za/article/resilient-lonmin-beats-guidance-ups-cash-2017-11-17,manual_review_near_duplicate
0.993161,DISC-MEDIA-0508,DISC-MEDIA-0509,Lonmin Sheds 1 400 Jobs As Cost Cutting Programme Gets Under Way,Lonmin Sheds 1 400 Jobs As Cost Cutting Programme Gets Under Way,2015,2015,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-sheds-1-400-jobs-as-cost-cutting-programme-gets-under-way-2015-08-27,https://www.engineeringnews.co.za/article/lonmin-sheds-1-400-jobs-as-cost-cutting-programme-gets-under-way-2015-09-04,manual_review_near_duplicate
0.992641,DISC-MEDIA-0625,DISC-MEDIA-0626,Sa Mining Challenges About Far More Than Marikana Migrant Labour Manuel,Sa Mining Challenges About Far More Than Marikana Migrant Labour Manuel,2013,2013,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/sa-mining-challenges-about-far-more-than-marikana-migrant-labour-manuel-2013-08-30,https://www.engineeringnews.co.za/article/sa-mining-challenges-about-far-more-than-marikana-migrant-labour-manuel-2013-09-13,manual_review_near_duplicate
0.992295,DISC-MEDIA-0474,DISC-MEDIA-0475,Lonmin Paid 1678M In Taxes Royalties During 2018 Financial Year,Lonmin Paid 1678M In Taxes Royalties During 2018 Financial Year,2019,2019,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-paid-1678m-in-taxes-royalties-during-2018-financial-year-2019-04-01,https://www.engineeringnews.co.za/article/lonmin-paid-1678m-in-taxes-royalties-during-2018-financial-year-2019-04-12,manual_review_near_duplicate
0.992095,DISC-MEDIA-0428,DISC-MEDIA-0429,Lonmin Buys Remaining Pandora Stake,Lonmin Buys Remaining Pandora Stake,2017,2017,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-buys-remaining-pandora-stake-2017-05-15,https://www.engineeringnews.co.za/article/lonmin-buys-remaining-pandora-stake-2017-05-26,manual_review_near_duplicate
0.991698,DISC-MEDIA-0491,DISC-MEDIA-0492,Lonmin Returns To Profitability But Lowers 2017 Sales Guidance,Lonmin Returns To Profitability But Lowers 2017 Sales Guidance,2016,2016,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-returns-to-profitability-but-lowers-2017-sales-guidance-2016-11-14,https://www.engineeringnews.co.za/article/lonmin-returns-to-profitability-but-lowers-2017-sales-guidance-2016-11-25,manual_review_near_duplicate
0.991684,DISC-MEDIA-0459,DISC-MEDIA-0460,Lonmin Inks Landmark Bee Deals With Traditional Community,Lonmin Inks Landmark Bee Deals With Traditional Community,2014,2014,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-08-08,manual_review_near_duplicate
0.991232,expanded_media_candidates__EXP-MEDIA-001,DISC-MEDIA-0412,It's business unusual at 'improving' Lonmin – Munroe,Its Business Unusual At Improving Lonmin Munroe,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,https://www.engineeringnews.co.za/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-05,manual_review_near_duplicate
0.990879,DISC-MEDIA-0662,DISC-MEDIA-0663,South Africa Must Prosecute 2012 Marikana Deaths Amnesty Says,South Africa Must Prosecute 2012 Marikana Deaths Amnesty Says,2017,2017,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/south-africa-must-prosecute-2012-marikana-deaths-amnesty-says-2017-08-15,https://www.engineeringnews.co.za/article/south-africa-must-prosecute-2012-marikana-deaths-amnesty-says-2017-08-25,manual_review_near_duplicate
0.990718,DISC-MEDIA-0549,DISC-MEDIA-0550,Magara Takes The Reins At Lonmin Furnace Restarted,Magara Takes The Reins At Lonmin Furnace Restarted,2013,2013,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/magara-takes-the-reins-at-lonmin-furnace-restarted-2013-07-01,https://www.engineeringnews.co.za/article/magara-takes-the-reins-at-lonmin-furnace-restarted-2013-07-12,manual_review_near_duplicate
0.990414,DISC-MEDIA-0387,DISC-MEDIA-0388,Community Members Accelerate Bid Against Key R564M Lonmin Bee Deal,Community Members Accelerate Bid Against R564M Lonmin Bee Deal,2015,2015,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/community-members-accelerate-bid-against-key-r564m-lonmin-bee-deal-2015-06-11,https://www.engineeringnews.co.za/article/community-members-accelerate-bid-against-r564m-lonmin-bee-deal-2015-06-19,manual_review_near_duplicate
0.990365,MEDIA-024,DISC-MEDIA-0436,"Lonmin, AMCU celebrate finalisation of landmark BEE equity deal",Lonmin Communities Celebrate Conclusion Of Bee Deals,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-amcu-celebrate-finalisation-of-landmark-bee-equity-deal-2014-12-12,https://www.engineeringnews.co.za/article/lonmin-communities-celebrate-conclusion-of-bee-deals-2014-12-04,manual_review_near_duplicate
0.988337,DISC-MEDIA-0617,DISC-MEDIA-0618,Resilient Lonmin Delivers Sturdy Output Extracts Cash From Tailings,Resilient Lonmin Delivers Sturdy Output Extracts Cash From Tailings,2018,2018,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-delivers-sturdy-output-extracts-cash-from-tailings-2018-01-22,https://www.engineeringnews.co.za/article/resilient-lonmin-delivers-sturdy-output-extracts-cash-from-tailings-2018-02-02,manual_review_near_duplicate
0.988310,DISC-MEDIA-0665,DISC-MEDIA-0666,Strike Hit Mothers Have No Food To Put On The Table Lonmin,Strike Hit Mothers Have No Food To Put On The Table Lonmin,2014,2014,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,https://www.engineeringnews.co.za/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-11,manual_review_near_duplicate
0.987911,MEDIA-026,DISC-MEDIA-0452,"Lonmin cuts workforce, shrinks capex, lowers unit costs",Lonmin Employee Cut Half Done Capex Shrunk Unit Costs Lower,2015,2015,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-cuts-workforce-shrinks-capex-lowers-unit-costs-2015-11-13,https://www.engineeringnews.co.za/article/lonmin-employee-cut-half-done-capex-shrunk-unit-costs-lower-2015-11-02,manual_review_near_duplicate
0.987381,MEDIA-033,DISC-MEDIA-0666,Strike-hit mothers have no food to put on the table – Lonmin,Strike Hit Mothers Have No Food To Put On The Table Lonmin,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,https://www.engineeringnews.co.za/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-11,manual_review_near_duplicate
0.987354,DISC-MEDIA-0424,DISC-MEDIA-0425,Lonmin Boosts Turnaround On Upped Output Suffers Fatalities,Lonmin Boosts Turnaround On Upped Production But Suffers Fatalities,2017,2017,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-boosts-turnaround-on-upped-output-suffers-fatalities-2017-07-28,https://www.engineeringnews.co.za/article/lonmin-boosts-turnaround-on-upped-production-but-suffers-fatalities-2017-07-17,manual_review_near_duplicate
0.986762,DISC-MEDIA-0527,DISC-MEDIA-0528,Lonmin Unveils Design Proposal For Marikana Memorial Park Showcases New Apartments,Lonmin Unveils Design Proposal For Marikana Memorial Park Showcases New Apartments,2017,2017,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-25,manual_review_near_duplicate
0.986583,DISC-MEDIA-0636,DISC-MEDIA-0648,Sibanye Expects Lonmin Competition Finality October,Sibanye Stillwater Expects Lonmin Competition Finality In October,2018,2018,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/sibanye-expects-lonmin-competition-finality-october-2018-08-27,https://www.engineeringnews.co.za/article/sibanye-stillwater-expects-lonmin-competition-finality-in-october-2018-08-27,manual_review_near_duplicate
0.985329,MEDIA-016,DISC-MEDIA-0528,Lonmin unveils design proposal for Marikana memorial park showcases new apartments,Lonmin Unveils Design Proposal For Marikana Memorial Park Showcases New Apartments,2017,2017,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-25,manual_review_near_duplicate
0.985327,DISC-MEDIA-0521,DISC-MEDIA-0522,Lonmin To Shut Idle High Cost Operations,Lonmin To Shut Idle High Cost Operations,2015,2015,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-shut-idle-high-cost-operations-2015-07-24,https://www.engineeringnews.co.za/article/lonmin-to-shut-idle-high-cost-operations-2015-08-07,manual_review_near_duplicate
0.983971,MEDIA-031,DISC-MEDIA-0450,Lonmin donates 50 ha of land for residential development,Lonmin Donates 50 Ha Of Land For Residential Development,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-10-29,https://www.engineeringnews.co.za/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-11-08,manual_review_near_duplicate
0.983952,DISC-MEDIA-0392,DISC-MEDIA-0431,Consolidation Needed To Save Jobs Lonmin,Lonmin Ceo Pleads For Consolidation Approval To Save 20 000 Jobs,2018,2018,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/consolidation-needed-to-save-jobs-lonmin-2018-05-25,https://www.engineeringnews.co.za/article/lonmin-ceo-pleads-for-consolidation-approval-to-save-20-000-jobs-2018-05-14,manual_review_near_duplicate
0.983018,MEDIA-051,DISC-MEDIA-0646,Sibanye plans to cut 5 270 jobs as it restructures Marikana operations,Sibanye Plans To Cut 5 270 Jobs As It Restructures Marikana Operations,2019,2019,Mining Weekly,Engineering News,https://www.miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,https://www.engineeringnews.co.za/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-10-04,manual_review_near_duplicate
0.982881,DISC-MEDIA-0538,DISC-MEDIA-0539,Lonmins Refined Platinum Output Plummets On Smelter Shutdowns,Lonmins Refined Platinum Output Plummets On Smelter Shutdowns,2015,2015,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmins-refined-platinum-output-plummets-on-smelter-shutdowns-2015-01-29,https://www.engineeringnews.co.za/article/lonmins-refined-platinum-output-plummets-on-smelter-shutdowns-2015-02-06,manual_review_near_duplicate
0.982595,expanded_media_candidates__EXP-MEDIA-003,DISC-MEDIA-0514,Lonmin to derecognise smaller unions in favour of AMCU,Lonmin To Derecognise Smaller Unions In Favour Of Amcu,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-23,https://www.engineeringnews.co.za/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-14,manual_review_near_duplicate
0.980791,DISC-MEDIA-0523,DISC-MEDIA-0524,Lonmin Transaction Filed With South Africas Competition Authority,Lonmin Transaction Filed With South Africas Competition Body,2018,2018,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-transaction-filed-with-south-africas-competition-authority-2018-03-16,https://www.engineeringnews.co.za/article/lonmin-transaction-filed-with-south-africas-competition-body-2018-03-30,manual_review_near_duplicate
0.980706,DISC-MEDIA-0506,DISC-MEDIA-0507,Lonmin Shares Rise On R2Bn Cost Cut Plan With Worker Help Preventing Shaft Shut,Lonmin Shares Rise On R2Bn Cost Cut Plan With Worker Help Preventing Shaft Shut,2014,2014,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/lonmin-shares-rise-on-r2bn-cost-cut-plan-with-worker-help-preventing-shaft-shut-2014-11-10,https://www.engineeringnews.co.za/article/lonmin-shares-rise-on-r2bn-cost-cut-plan-with-worker-help-preventing-shaft-shut-2014-11-21,manual_review_near_duplicate
0.978543,MEDIA-044,DISC-MEDIA-0523,Lonmin transaction filed with South Africa's competition authority,Lonmin Transaction Filed With South Africas Competition Authority,2018,2018,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-transaction-filed-with-south-africas-competition-body-2018-03-30,https://www.engineeringnews.co.za/article/lonmin-transaction-filed-with-south-africas-competition-authority-2018-03-16,manual_review_near_duplicate
0.978360,DISC-MEDIA-0668,DISC-MEDIA-0669,Thakadu To Build 14M Nickel Beneficiation Plant At Lonmin Refinery,Thakadu To Build 14M Nickel Beneficiation Plant At Lonmin Refinery,2016,2016,Engineering News,Engineering News,https://www.engineeringnews.co.za/article/thakadu-to-build-14m-nickel-beneficiation-plant-at-lonmin-refinery-2016-11-16,https://www.engineeringnews.co.za/article/thakadu-to-build-14m-nickel-beneficiation-plant-at-lonmin-refinery-2016-11-25,manual_review_near_duplicate
