publisher,url,canonical_url,year,prescreen_status
Daily Maverick,https://www.dailymaverick.co.za/article/2014-06-06-numsa-amcu-and-the-portent-of-strike-stricken-economy/,https://dailymaverick.co.za/article/2014-06-06-numsa-amcu-and-the-portent-of-strike-stricken-economy,2014,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2014-06-09-amcu-strike-ramathlodis-platinum-team-fizzles/,https://dailymaverick.co.za/article/2014-06-09-amcu-strike-ramathlodis-platinum-team-fizzles,2014,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2014-06-09-platinum-strike-ramatlhodi-out-no-end-in-sight-whats-next/,https://dailymaverick.co.za/article/2014-06-09-platinum-strike-ramatlhodi-out-no-end-in-sight-whats-next,2014,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2014-06-11-platinum-strike-mining-minister-claims-hollow-victory/,https://dailymaverick.co.za/article/2014-06-11-platinum-strike-mining-minister-claims-hollow-victory,2014,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2014-06-11-platinum-strike-wages-politics-and-the-ancs-false-boogeymen/,https://dailymaverick.co.za/article/2014-06-11-platinum-strike-wages-politics-and-the-ancs-false-boogeymen,2014,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2014-06-12-platinum-strike-never-ending-story-set-to-end/,https://dailymaverick.co.za/article/2014-06-12-platinum-strike-never-ending-story-set-to-end,2014,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2014-06-23-platinum-strike-no-more-after-losing-r10-6-billion-in-wages-miners-claim-victory/,https://dailymaverick.co.za/article/2014-06-23-platinum-strike-no-more-after-losing-r10-6-billion-in-wages-miners-claim-victory,2014,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2014-06-27-groundup-who-won-the-platinum-strike-the-figures-speak./,https://dailymaverick.co.za/article/2014-06-27-groundup-who-won-the-platinum-strike-the-figures-speak.,2014,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2014-06-29-op-ed-amcu-victory-is-more-than-just-about-the-figures/,https://dailymaverick.co.za/article/2014-06-29-op-ed-amcu-victory-is-more-than-just-about-the-figures,2014,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2015-03-10-sibanye-golds-hlanganani-shaft-going-deep-into-the-heart-of-the-economy/,https://dailymaverick.co.za/article/2015-03-10-sibanye-golds-hlanganani-shaft-going-deep-into-the-heart-of-the-economy,2015,secondary_keyword_only_review
