similarity,candidate_id_a,candidate_id_b,title_a,title_b,year_a,year_b,publisher_a,publisher_b,url_a,url_b,decision
0.999305,expanded_media_candidates__EXP-MEDIA-001,expanded_media_candidates_batch1__EXP-MEDIA-025,It's business unusual at 'improving' Lonmin – Munroe,It's business unusual at 'improving' Lonmin – Munroe,2013,2013,Mining Weekly,Mining Weekly,https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,manual_review_near_duplicate
0.998947,SAT5-MEDIA-003,WEB-MEDIA-005,Rights organisations are seeking accountability for failed Marikana housing,Human rights orgs are seeking accountability for failed Marikana housing,2022,2022,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/human-rights-orgs-are-seeking-accountability-for-failed-marikana-housing-2022-08-16,https://www.miningweekly.com/article/human-rights-orgs-are-seeking-accountability-for-failed-marikana-housing-2022-08-16,manual_review_near_duplicate
0.998719,MEDIA-051,WEB-MEDIA-001,Sibanye plans to cut 5 270 jobs as it restructures Marikana operations,Sibanye to cut 5 270 jobs as it restructures Marikana operations,2019,2019,Mining Weekly,Mining Weekly,https://www.miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,https://www.miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,manual_review_near_duplicate
0.998653,MEDIA-049,SAT-MEDIA-011,"Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed","Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed",2019,2019,Mining Weekly,Mining Weekly,https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,manual_review_near_duplicate
0.998531,MEDIA-050,SAT-MEDIA-012,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,2019,2019,Mining Weekly,Mining Weekly,https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,manual_review_near_duplicate
