publisher,url,canonical_url,year,prescreen_status
Daily Maverick,https://www.dailymaverick.co.za/cartoon/2015-05-25-release-of-the-marikana-report/,https://dailymaverick.co.za/cartoon/2015-05-25-release-of-the-marikana-report,,review_year_unresolved
Daily Maverick,https://www.dailymaverick.co.za/cartoon/2015-06-08-jacob-applying-his-mind-to-the-marikana-report/,https://dailymaverick.co.za/cartoon/2015-06-08-jacob-applying-his-mind-to-the-marikana-report,,review_year_unresolved
Daily Maverick,https://www.dailymaverick.co.za/cartoon/2015-06-30-farlam-report-omission-of-inquiry/,https://dailymaverick.co.za/cartoon/2015-06-30-farlam-report-omission-of-inquiry,,review_year_unresolved
Daily Maverick,https://www.dailymaverick.co.za/cartoon/2015-08-15-marikana-three-years-on/,https://dailymaverick.co.za/cartoon/2015-08-15-marikana-three-years-on,,review_year_unresolved
Daily Maverick,https://www.dailymaverick.co.za/cartoon/2017-08-16-marikana-by-numbers/,https://dailymaverick.co.za/cartoon/2017-08-16-marikana-by-numbers,,review_year_unresolved
Daily Maverick,https://www.dailymaverick.co.za/cartoon/2017-08-24-marikana-mileage/,https://dailymaverick.co.za/cartoon/2017-08-24-marikana-mileage,,review_year_unresolved
Engineering News,https://www.engineeringnews.co.za/article/amcu-gold-producers-meet-to-hash-out-representation-dispute-1970-01-01,https://engineeringnews.co.za/article/amcu-gold-producers-meet-to-hash-out-representation-dispute-1970-01-01,,review_year_unresolved
