cluster_id,canonicalised_url,candidate_id,title,year,publisher,text_sha256,decision
1,https://miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,SAT-MEDIA-005,Sibanye continues to make reparations at Marikana,2022,Mining Weekly,caa6af17666af9c26a64dfbe5de223ec5ed64addd7a07c82c93ef45a99382a44,manual_review_same_url
1,https://miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,WEB-MEDIA-004,Sibanye continues to make reparations at Marikana,2022,Mining Weekly,85f2f5ba9538dbc9941670775b274bea0baa0bd45ea1b1df425624e522f98a99,manual_review_same_url
2,https://thevault.exchange,CORP-NEWS-002,Constitutional Court of South Africa dismisses applications brought by Greater Lonmin Community,2019,Sibanye-Stillwater,7bc0b9ee4b092a58e7c8f3cb4cb18a0cd30a266c32137cc7f6d01234d33e206d,manual_review_same_url
2,https://thevault.exchange,CORP-NEWS-003,Sibanye-Stillwater signs three-year PGM wage agreements,2019,Sibanye-Stillwater,e2f08e1c08b0e587e091f40ef339074d012f23dc3ea8e95fa73b8b22adf25b6c,manual_review_same_url
2,https://thevault.exchange,CORP-NEWS-005,Referral of the Platinum wage negotiations dispute to the CCMA for Sibanye-Stillwater’s Rustenburg and Marikana operations,2019,Sibanye-Stillwater,142a3d7307814cd509fb45d43f958bd4a1eddbfb80e80e0a738f1dbc9f58b9b5,manual_review_same_url
2,https://thevault.exchange,CORP-NEWS-006,Marikana Commemoration speakers call for positive change in South Africa,2023,Sibanye-Stillwater,8639bebcb73f5d6b51e9e7365e622bb7d737c8aa5a64445a4b6c9a8323691f5e,manual_review_same_url
