cluster_id,normalised_title,year,candidate_id,title,publisher,source_url,text_sha256,decision
1,farlam finds against lonmin recommends enforced housing delivery,2015,MEDIA-040,"Farlam finds against Lonmin, recommends enforced housing delivery",Mining Weekly,https://www.miningweekly.com/article/farlam-finds-against-lonmin-recommends-enforced-housing-delivery-2015-06-25,d05abd9b75e95d276d8c99fc43c6f99a8e073c1cb9546a8cc819f40ae9026a95,manual_review_same_title_year
1,farlam finds against lonmin recommends enforced housing delivery,2015,SAT5-MEDIA-001,"Farlam finds against Lonmin, recommends enforced housing delivery",Mining Weekly / Creamer Media,https://www.engineeringnews.co.za/article/marikana-report-2015-06-25,3684ebbcf169aafbb1be2f2c91a2e070f6466944be6845774b9bd6f5ee7bdf04,manual_review_same_title_year
2,it s business unusual at improving lonmin munroe,2013,expanded_media_candidates__EXP-MEDIA-001,It's business unusual at 'improving' Lonmin – Munroe,Mining Weekly,https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,5e52197946b9863dbcd8ef595692499096a4eb828914ea7c5cda853e92e93366,manual_review_same_title_year
2,it s business unusual at improving lonmin munroe,2013,expanded_media_candidates_batch1__EXP-MEDIA-025,It's business unusual at 'improving' Lonmin – Munroe,Mining Weekly,https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,ffb49d257b8daddec1d9a03a0c45066ea9c771a0bd57f18400e88594d54fb862,manual_review_same_title_year
3,rustenburg communities want concourt to set aside sibanye s lonmin takeover,2019,MEDIA-050,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,Mining Weekly,https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,7e1ef1a2b3856b3bca0f225448502f6d2fd9d3f7fbe54915e95806e1b5d78c3f,manual_review_same_title_year
3,rustenburg communities want concourt to set aside sibanye s lonmin takeover,2019,SAT-MEDIA-012,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,Mining Weekly,https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,1a85d6200a97535e6e670285c20e61c67306760932021614286cc1e1935ea2d4,manual_review_same_title_year
4,sibanye lonmin merger enters final stretch as amcu appeal is dismissed,2019,MEDIA-049,"Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed",Mining Weekly,https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,231313a3ba196fc717b84fdb5ade922be5b8d9abee5f3873c038d617c522a014,manual_review_same_title_year
4,sibanye lonmin merger enters final stretch as amcu appeal is dismissed,2019,SAT-MEDIA-011,"Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed",Mining Weekly,https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,c94122a498152a45f32f39b92e46070b1952569252c6da5a7e7ea715869e20d9,manual_review_same_title_year
