candidate_id,status,title,year,publisher,metadata_source,source_url,final_url,http_status,content_type,retrieval_method,raw_bytes,raw_sha256,extraction_method,pages,text_chars,text_words,text_sha256,error
EXP-MEDIA-064,acquired_extracted,Sibanye-Stillwater hoists first tons from R4bn 4 000-job K4 platinum project,2022,Engineering News,expanded_media_candidates_batch3.csv,https://www.engineeringnews.co.za/article/first-tons-hoisted-at-marikanas-top-tier-4-000-job-k4-platinum-project-2022-05-16,https://www.engineeringnews.co.za/article/first-tons-hoisted-at-marikanas-top-tier-4-000-job-k4-platinum-project-2022-05-16,200,text/html,http,258299,6095658f2cc47ea95de9a4f433a3edf06bf3a98e8afc13d3509f372f7c391228,trafilatura,,5138,809,2b7b6403c746e47593d77b61e975c7f29f3d5fb59301d9445c5d680ad1ba6378,
EXP-MEDIA-065,acquired_extracted,"Sibanye reaches wage agreement with NUM, UASA, but AMCU holds out",2022,Engineering News,expanded_media_candidates_batch3.csv,https://www.engineeringnews.co.za/article/sibanye-reaches-wage-agreement-with-num-uasa-but-amcu-holds-out-2022-09-30,https://www.engineeringnews.co.za/article/sibanye-reaches-wage-agreement-with-num-uasa-but-amcu-holds-out-2022-09-30,200,text/html,http,255870,a1182b4e2559c394449f5e89f039730787f80faa7dab9c1d1c18d41b574262ef,trafilatura,,4049,636,21ca44d8c782a3aafa34b789865a6ef8e0b71b5e8581cf4723e8ecf6b235d348,
EXP-MEDIA-066,acquired_extracted,"Sibanye concludes five-year wage deal at Rustenburg, Marikana operations",2022,Engineering News,expanded_media_candidates_batch3.csv,https://www.engineeringnews.co.za/article/sibanye-concludes-five-year-wage-deal-at-rustenburg-marikana-operations-2022-10-28,https://www.engineeringnews.co.za/article/sibanye-concludes-five-year-wage-deal-at-rustenburg-marikana-operations-2022-10-28,200,text/html,http,254000,a809feca697bbd2992280a801ef87b1cf9b59c7f395d29782180e767e150674c,trafilatura,,3851,599,f8a2558ab898d06afbd7bbd4487d92a7ad4ffb258e62f9a800600a0af042df62,
EXP-MEDIA-067,acquired_extracted,Sibanye continues to make reparations at Marikana,2022,Mining Weekly,expanded_media_candidates_batch3.csv,https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,200,text/html,http,272800,a9e845a618ef7f46d11fd4bdc9bb5092e2e4dbad64f81a94a4248b8d3c7b53cf,trafilatura,,9941,1582,85f2f5ba9538dbc9941670775b274bea0baa0bd45ea1b1df425624e522f98a99,
EXP-MEDIA-068,acquired_extracted,More than 4 000 jobs on the line as Sibanye considers future of four South African PGM shafts,2023,Engineering News,expanded_media_candidates_batch3.csv,https://www.engineeringnews.co.za/article/more-than-4-000-jobs-on-the-line-as-sibanye-considers-future-of-four-south-african-pgm-shafts-2023-10-25,https://www.engineeringnews.co.za/article/more-than-4-000-jobs-on-the-line-as-sibanye-considers-future-of-four-south-african-pgm-shafts-2023-10-25,200,text/html,http,259864,b2766e96952278f835d83f44a08c2680a5bab42fab0a27ff4f594b7358d70c92,trafilatura,,6537,994,2dc2c29de62199e9309f4118620a3cef45c6a0b2ec1514d6cd0cc117efb359db,
EXP-MEDIA-069,acquired_extracted,"For the platinum Industry, Marikana was a ‘Mechanisation Moment’",2019,Daily Maverick,expanded_media_candidates_batch3.csv,https://www.dailymaverick.co.za/article/2019-08-16-for-the-platinum-industry-marikana-was-a-mechanisation-moment/,https://www.dailymaverick.co.za/article/2019-08-16-for-the-platinum-industry-marikana-was-a-mechanisation-moment/,200,text/html,http,300341,bb3edfd8ef19feab6b26cda1f78512255a95641ea43fc83c0646919e81426925,trafilatura,,7037,1175,154cd65fadc9cdd8902962f40dba2aa5b55890b0a3177e37debfd665021f0118,
EXP-MEDIA-070,acquired_extracted,How the twilight of South Africa’s migrant labour system spawned a social apocalypse,2022,Daily Maverick,expanded_media_candidates_batch3.csv,https://www.dailymaverick.co.za/article/2022-11-27-how-the-twilight-of-sas-migrant-labour-system-spawned-a-social-apocalypse/,https://www.dailymaverick.co.za/article/2022-11-27-how-the-twilight-of-sas-migrant-labour-system-spawned-a-social-apocalypse/,200,text/html,http,533653,141eec98be328c94b160cf2fb7e69e51946faf6f3c9de282058558513a177a8d,trafilatura,,24238,4078,cc37721a52a26a08a08d796f7f65cec805a80b1d17cb8e0fcdb366ccb45b903f,
EXP-MEDIA-071,acquired_extracted,Cooling of labour militancy in SA’s mines mirrors decline of migrant labour system,2022,Daily Maverick,expanded_media_candidates_batch3.csv,https://www.dailymaverick.co.za/article/2022-11-28-cooling-of-labour-militancy-in-sas-mines-mirrors-decline-of-migrant-labour-system/,https://www.dailymaverick.co.za/article/2022-11-28-cooling-of-labour-militancy-in-sas-mines-mirrors-decline-of-migrant-labour-system/,200,text/html,http,470021,50e294b3edcfacb94644e5efcf6a5e84a52f1df1eb22481f53bfeba9db5e174d,trafilatura,,7391,1245,5fbfa06e0750244b8c77cc0eed13427cbfa9cbf10197f39c8f76a16312c6eae2,
SAT-EARLY-MEDIA-001,acquired_extracted,Lonmin inks landmark BEE deals with traditional community,2014,Mining Weekly,expanded_media_candidates_saturation_2010_2018.csv,https://www.miningweekly.com/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,https://www.miningweekly.com/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,200,text/html,http,261559,093e6854dd6d2efb9e72ad4402bc0cf0b7a27ebc601bb12d759e98bf40cbdbd6,trafilatura,,7004,1140,2b52a2f3771954cc9c0611a8c3969710cd78951799e379b6777994c8e36ea6df,
SAT-EARLY-MEDIA-002,acquired_extracted,Missing millions from Lonmin fund prompts community pay reform,2016,Mining Weekly / Bloomberg,expanded_media_candidates_saturation_2010_2018.csv,https://www.miningweekly.com/article/missing-millions-from-lonmin-fund-prompts-community-pay-reform-2016-08-04,https://www.miningweekly.com/article/missing-millions-from-lonmin-fund-prompts-community-pay-reform-2016-08-04,200,text/html,http,255648,43f2bdc1ffe8461d633f6bdc5223fc6e778b7e41442c61418238765e2e925b8c,trafilatura,,4606,737,d4c29bb2b91c27f40b5e62890d3bfc123a3cf7645a9996f27d064992f0c6da37,
SAT-EARLY-MEDIA-005,acquired_extracted,Bapo cancel protest march against Lonmin after reaching new employment deal,2015,Mining Weekly / African News Agency,expanded_media_candidates_saturation_2010_2018.csv,https://www.miningweekly.com/article/bapo-cancel-protest-march-against-lonmin-after-reaching-new-employment-deal-2015-06-17,https://www.miningweekly.com/article/bapo-cancel-protest-march-against-lonmin-after-reaching-new-employment-deal-2015-06-17,200,text/html,http,254991,84b537b5e58dfdd0ee84fd95919ca8d341244f9c11d0ff0ca705e48bf2eb2946,trafilatura,,4249,685,cb54a9dcc41c76e674d821d58c19fbfd068dbd1361aecd094902508a5e6ca8c5,
SAT-EARLY-MEDIA-006,acquired_extracted,Power shift in unions could mean a difficult time ahead in SA platinum belt,2013,Mining Weekly,expanded_media_candidates_saturation_2010_2018.csv,https://www.miningweekly.com/article/power-shift-in-unions-could-mean-a-difficult-time-ahead-in-sa-platinum-belt-2013-06-28,https://www.miningweekly.com/article/power-shift-in-unions-could-mean-a-difficult-time-ahead-in-sa-platinum-belt-2013-06-28,200,text/html,http,261558,b1a0d5125c0ed79eba5e1c6587eca333a59af5b107f98a3a94992860c85b18a6,trafilatura,,8535,1394,5df87ded47178f9ff14dc5b2ba8dbc55012c957c0e13d53ddf8668a920a2cb84,
SAT-EARLY-MEDIA-007,acquired_extracted,Lonmin artisan college forging ahead despite 2012 setbacks,2013,Mining Weekly,expanded_media_candidates_saturation_2010_2018.csv,https://www.miningweekly.com/article/lonmin-artisan-college-forging-ahead-despite-2012-setbacks-2013-03-05,https://www.miningweekly.com/article/lonmin-artisan-college-forging-ahead-despite-2012-setbacks-2013-03-05,200,text/html,http,257006,cf8cbbf75139242337a6880fdcd7657c2e1a76fe65401218ff5e5c2209358ae3,trafilatura,,4883,752,343c41226d19d33ca448c5608c5f9a7100c5b0d7e317e2cc58b26d44a2701cac,
SAT-EARLY-MEDIA-008,acquired_extracted,HONOURING AGREEMENTS,2013,Mining Weekly,expanded_media_candidates_saturation_2010_2018.csv,https://www.miningweekly.com/article/honouring-agreements-2013-03-15,https://www.miningweekly.com/article/honouring-agreements-2013-03-15,200,text/html,http,254227,9a82c9d56515ebb7c53b631c6511514f0e047414cbb4553c7e0673f376c7d5f9,trafilatura,,2800,431,8d7cabe1afb3ab1c7d35fb5cbf6d00de41dba345966623062bc8bc38f7116b2b,
SAT-EARLY-MEDIA-011,acquired_extracted,"Marikana: NPA drops 'common purpose' charges, but critical questions remain",2012,Daily Maverick,expanded_media_candidates_saturation_2010_2018.csv,https://www.dailymaverick.co.za/article/2012-09-03-marikana-npa-drops-common-purpose-charges-but-critical-questions-remain/,https://www.dailymaverick.co.za/article/2012-09-03-marikana-npa-drops-common-purpose-charges-but-critical-questions-remain/,200,text/html,http,365905,3579ef29c5aa8c35c80bac59636095e50d26c56d25dd9fc7b126ac8cd3cb4771,trafilatura,,12837,2239,a827f850c75a626e21c8b32dfb22450141e36e6935f7ccd09bf44c45c5c1b257,
SAT-EARLY-MEDIA-012,acquired_extracted,A tale of two worlds - Sun City and Marikana,2012,Daily Maverick,expanded_media_candidates_saturation_2010_2018.csv,https://www.dailymaverick.co.za/article/2012-09-03-a-tale-of-two-worlds-sun-city-and-marikana/,https://www.dailymaverick.co.za/article/2012-09-03-a-tale-of-two-worlds-sun-city-and-marikana/,200,text/html,http,303455,0ca4d83ca0573ff97dc22086d5ff9592476abbe7b76f7a74a019b4d844e172c8,trafilatura,,4914,819,ac2a67850d3a8175140e0ba6032ec7aeafdac92dcf53075b8a3c13ab95ec87d6,
