candidate_id,title,year,publication_date_from_url,publisher,url,prescreen_bucket,targeted_fetch_status,retrieved_text_words,retrieved_text_sha256,case_terms,case_mentions_total,event_terms,event_distinct_terms,social_terms,social_distinct_terms,corporate_terms,corporate_distinct_terms,title_has_case_process_signal,title_has_routine_corporate_signal,evidence_class,evidence_note,review_decision,review_reason_code,review_note
DISC-MEDIA-0382,Bright Interims Better Output Lift Lonmin Share Price,2016,2016-05-16,Engineering News,https://www.engineeringnews.co.za/article/bright-interims-better-output-lift-lonmin-share-price-2016-05-16,lonmin_only_title_review,retrieved_extracted,723,375662abfc4005274490dacd252f89adf0e657955f464af19d35d81239f62166,,0,worker_miner;shooting_death;wage,3,,0,share_price;earnings_results;production_output;funding_debt;transaction;exploration_project;commodity_market,7,false,true,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0246,Four Arrests Made After Marikana Shooting,2017,2017-10-02,Daily Maverick,https://www.dailymaverick.co.za/article/2017-10-02-four-arrests-made-after-marikana-shooting/,explicit_case_title_review,retrieved_extracted,141,46532b8c70c21bf604b49c9ceecb3786848e1b1073a8cf353b1ebf0a0c445ebe,,0,police,1,commission_inquiry,1,,0,true,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0660,Solidarity Requests Labour Court To Review Lonmins Withdrawal Of Solidaritys Rights Recognition,2017,2017-10-24,Engineering News,https://www.engineeringnews.co.za/article/solidarity-requests-labour-court-to-review-lonmins-withdrawal-of-solidaritys-rights-recognition-2017-10-24,lonmin_only_title_review,retrieved_extracted,706,3069faa67b1b6becdb54cd56052fcea8b2412abc05c84976d600dcd27b50c149,,0,strike;worker_miner;union,3,commission_inquiry,1,earnings_results,1,false,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0368,Amcu Moves To Overturn Sibanyes Lonmin Deal,2018,2018-12-20,Engineering News,https://www.engineeringnews.co.za/article/amcu-moves-to-overturn-sibanyes-lonmin-deal-2018-12-20,lonmin_only_title_review,retrieved_extracted,447,7cc11257f3a14830bc1b8fd0512852051ed06cbfbe118b18ca479a16acbeac1d,,0,worker_miner;union,2,,0,share_price;earnings_results;transaction,3,true,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0383,Britains Competition Watchdog To Look Into Sibanye Lonmin Deal,2018,2018-05-15,Engineering News,https://www.engineeringnews.co.za/article/britains-competition-watchdog-to-look-into-sibanye-lonmin-deal-2018-05-15,lonmin_only_title_review,retrieved_extracted,770,1c005a672cfe3b74193d4a09f700981372df164ce5f57c576c1ecb61950c0e64,,0,worker_miner;wage;union,3,commission_inquiry,1,share_price;earnings_results;production_output;funding_debt;transaction,5,false,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0463,Lonmin Launches Community Grievance System,2018,2018-04-25,Engineering News,https://www.engineeringnews.co.za/article/lonmin-launches-community-grievance-system-2018-04-25,lonmin_only_title_review,retrieved_extracted,601,013e593ed68fde48f6b804af8ac5abdebc536aae635e1ad5d9d6bc79e44d5f3d,,0,,0,community,1,earnings_results;exploration_project,2,true,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0524,Lonmin Transaction Filed With South Africas Competition Body,2018,2018-03-30,Engineering News,https://www.engineeringnews.co.za/article/lonmin-transaction-filed-with-south-africas-competition-body-2018-03-30,lonmin_only_title_review,retrieved_extracted,461,10452e2ceaf61ca07457392bc02492cb741ec4b6116c53439d6d23c0d66f2e85,,0,worker_miner;union,2,community;commission_inquiry,2,earnings_results;transaction;commodity_market,3,false,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0634,Sibanye Ceo Confident Of Lonmin Takeover Despite Cash Burn,2018,2018-05-18,Engineering News,https://www.engineeringnews.co.za/article/sibanye-ceo-confident-of-lonmin-takeover-despite-cash-burn-2018-05-18,lonmin_only_title_review,retrieved_extracted,756,9320bcdc87dec25ed993551d219b14a8ec230c1c344c2ee729b2dd57777f42c5,,0,strike;worker_miner;wage,3,commission_inquiry,1,share_price;earnings_results;production_output;funding_debt;transaction;exploration_project,6,false,true,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0636,Sibanye Expects Lonmin Competition Finality October,2018,2018-08-27,Engineering News,https://www.engineeringnews.co.za/article/sibanye-expects-lonmin-competition-finality-october-2018-08-27,lonmin_only_title_review,retrieved_extracted,939,1b2a66d9c54e25d635e71eabc3e8a18978d7094ebe7679f1501048e65a04b19f,,0,,0,community;commission_inquiry,2,share_price;earnings_results;transaction;exploration_project;commodity_market,5,false,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0648,Sibanye Stillwater Expects Lonmin Competition Finality In October,2018,2018-08-27,Engineering News,https://www.engineeringnews.co.za/article/sibanye-stillwater-expects-lonmin-competition-finality-in-october-2018-08-27,lonmin_only_title_review,retrieved_extracted,940,258c973a6c5678ee886027110194d4cc7a3a29b949514848fb4e14d611eb2bb9,,0,,0,community;commission_inquiry,2,share_price;earnings_results;transaction;exploration_project;commodity_market,5,false,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0674,Tribunal Approves Sibanye Lonmin Merger Imposes 6 Month Moratorium On Retrenchments,2018,2018-11-21,Engineering News,https://www.engineeringnews.co.za/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-21,lonmin_only_title_review,retrieved_extracted,614,bd469379229593a9cc3e5c58797db128797998c4ad643dda47ed2ae4c856fb90,,0,,0,commission_inquiry,1,earnings_results;transaction;commodity_market,3,true,true,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0375,Amplats Lonmin Workers To Strike In Support Of Sibanyes Gold Employees,2019,2019-02-21,Engineering News,https://www.engineeringnews.co.za/article/amplats-lonmin-workers-to-strike-in-support-of-sibanyes-gold-employees-2019-02-21,lonmin_only_title_review,retrieved_extracted,710,2ce9ff4e49c23e55043275b4afffd036c45453205f41275677598605dda65fda,,0,strike;worker_miner;wage;union,4,,0,share_price;earnings_results;production_output;transaction,4,true,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0476,Lonmin Plans To Cut 4 100 Workers As It Closes Platinum Mines,2019,2019-05-21,Engineering News,https://www.engineeringnews.co.za/article/lonmin-plans-to-cut-4-100-workers-as-it-closes-platinum-mines-2019-05-21,lonmin_only_title_review,retrieved_extracted,425,b20bca1c5499de3c81299641ae0c11e11562ea958b64cb65efecc947291eebc2,,0,worker_miner,1,,0,earnings_results;funding_debt;transaction,3,true,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0477,Lonmin Plans To Cut 4 100 Workers As It Closes Platinum Mines,2019,2019-05-31,Engineering News,https://www.engineeringnews.co.za/article/lonmin-plans-to-cut-4-100-workers-as-it-closes-platinum-mines-2019-05-31,lonmin_only_title_review,retrieved_extracted,264,fb225216f881f4b73cd58febf7830f5f3b4fa74e39be79d9290157eab194a9b1,,0,,0,,0,earnings_results,1,true,false,possible_substantive_case_context,Labour/event/community/governance or case-process title signals require substantive review.,,,
DISC-MEDIA-0392,Consolidation Needed To Save Jobs Lonmin,2018,2018-05-25,Engineering News,https://www.engineeringnews.co.za/article/consolidation-needed-to-save-jobs-lonmin-2018-05-25,lonmin_only_title_review,retrieved_extracted,1149,6ec8b457873c1da1a64e1e146c3744f0e9b759140d1eadddffec8c66f6bf6a99,,0,,0,,0,earnings_results;production_output;funding_debt;exploration_project,4,false,false,likely_routine_corporate_signal,Multiple corporate/financial signals with weak case-event/community evidence.,,,
